City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,palmer,42.1584,-72.3287,66.31,29,75,17.27,US,1743789926
283,krasnohrad,49.3814,35.4402,54.93,55,1,7.47,UA,1743789927
284,gaiman,-43.2897,-65.4929,59.2,14,0,17.29,AR,1743789928
285,uturoa,-16.7333,-151.4333,82.53,77,100,14.67,PF,1743789929
286,dharapuram,10.7333,77.5167,81.55,68,96,3.02,IN,1743789930
287,macia,-25.0269,33.0989,70.79,80,50,5.59,MZ,1743789932
288,jumla,29.2747,82.1838,40.42,41,31,5.64,NP,1743789786
289,ontario,34.0633,-117.6509,65.48,48,20,11.01,US,1743789934
290,san luis de la loma,17.2706,-100.8939,85.91,42,2,7.9,MX,1743789935
291,atasu,48.6814,71.6433,39.61,73,98,13.13,KZ,1743789936
292,murzuq,25.9155,13.9184,80.24,7,0,11.7,LY,1743789938
293,hauterive,46.0901,3.4459,66.34,48,89,2.39,FR,1743789939
294,narvik,68.4384,17.4272,27.81,92,62,2.48,NO,1743789940
295,horta,38.5333,-28.6333,53.24,79,75,28.77,PT,1743789786
296,berbera,10.4396,45.0143,80.24,82,6,5.3,SO,1743789942
297,mandalay,21.9747,96.0836,88.02,19,52,4.94,MM,1743789943
298,port lincoln,-34.7333,135.8667,59.18,71,69,5.84,AU,1743789945
299,bubaque,11.2833,-15.8333,75.2,73,47,17.74,GW,1743789947
300,guaruja,-23.9931,-46.2564,80.46,31,75,5.75,BR,1743789886
301,caninde,-4.3589,-39.3117,86.02,55,77,7.63,BR,1743789949
302,richards bay,-28.783,32.0377,69.62,92,100,7.92,ZA,1743789950
303,floresti,47.8933,28.3014,56.52,59,10,3.18,MD,1743789951
304,akureyri,65.6835,-18.0878,49.93,34,0,13.8,IS,1743789952
305,hard bargain,26.3167,-77.5667,77.7,79,0,16.89,BS,1743789953
306,morozovsk,48.3539,41.8261,55.94,73,10,9.44,RU,1743789955
307,terrace,54.5163,-128.6035,44.51,65,75,2.3,CA,1743789726
308,fale old settlement,-9.3852,-171.2468,83.28,72,100,5.41,TK,1743789957
309,almenara,-16.1836,-40.6944,92.68,32,53,3.04,BR,1743789958
310,fort mcmurray,56.7268,-111.381,27.99,50,0,1.14,CA,1743789959
311,belyy yar,53.6039,91.3903,44.49,42,0,4.47,RU,1743789960
312,george town,5.4112,100.3354,78.75,79,20,3.44,MY,1743789668
313,torghay,49.6339,63.4981,46.26,52,4,6.53,KZ,1743789963
314,sorong,-0.8833,131.25,79.47,83,100,7.02,ID,1743789875
315,haiku-pauwela,20.9219,-156.3051,74.21,71,0,8.99,US,1743789965
316,taoudenni,22.6783,-3.9836,100.36,10,14,14.47,ML,1743789966
317,ca mau,9.1769,105.15,78.26,83,59,5.73,VN,1743789968
318,plastun,44.7561,136.2939,33.8,87,5,4.25,RU,1743789970
319,belozersk,60.0326,37.7957,32.5,85,100,14.32,RU,1743789971
320,lib,8.3122,167.3766,80.91,75,100,15.32,MH,1743789972
321,san fernando de apure,7.8878,-67.4724,93.22,35,99,8.59,VE,1743789974
322,dunedin,-45.8742,170.5036,53.98,78,71,12.15,NZ,1743789975
323,ihtiman,42.4333,23.8167,51.17,72,87,1.99,BG,1743789976
324,yaren,-0.5472,166.916,81.93,75,18,13.87,NR,1743789977
325,lagos,6.5833,3.75,82.44,81,33,7.78,NG,1743789978
326,okhotsk,59.3833,143.3,18.52,96,100,3.04,RU,1743789979
327,iskushuban,10.2837,50.23,76.01,77,1,10.29,SO,1743789981
328,saint-joseph,-21.3667,55.6167,77.38,79,100,7.52,RE,1743789982
329,morinville,53.8001,-113.652,37.47,49,40,9.22,CA,1743789983
330,smederevo,44.6628,20.93,56.14,80,48,3.13,RS,1743789984
331,uglegorsk,49.0833,142.0333,28.87,90,78,3.44,RU,1743789986
332,labytnangi,66.6572,66.4183,-2.92,100,60,3.36,RU,1743789987
333,lamu,-2.2717,40.902,81.18,81,100,10.13,KE,1743789988
334,glace bay,46.1969,-59.957,36.09,94,100,14.97,CA,1743789989
335,hidrolandia,-4.4081,-40.4378,78.35,88,94,4.74,BR,1743789990
336,puerto aysen,-45.4,-72.7,56.05,65,99,1.97,CL,1743789820
337,santana,-0.0583,-51.1817,82.58,78,75,9.22,BR,1743789899
338,alice springs,-23.7,133.8833,56.75,82,1,1.14,AU,1743789995
339,tobelo,1.7284,128.0095,78.66,85,99,4.52,ID,1743789996
340,yuzhno-kurilsk,44.0306,145.8556,32.85,69,100,25.48,RU,1743789998
341,tarauaca,-8.1614,-70.7656,85.96,63,99,4.45,BR,1743790000
342,zheleznogorsk,52.331,35.3711,53.37,66,74,8.61,RU,1743790001
343,tovuz,40.9922,45.6289,58.95,55,13,3.62,AZ,1743790002
344,grootfontein,-19.5667,18.1167,67.57,94,100,4.61,NA,1743789946
345,lerwick,60.1545,-1.1494,42.6,69,100,16.87,GB,1743790005
346,vilyuchinsk,52.9306,158.4028,30.47,89,100,12.68,RU,1743790006
347,ta`u,-14.2336,-169.5144,82.38,72,18,3.38,AS,1743790008
348,vryburg,-26.9566,24.7284,63.0,92,100,8.88,ZA,1743790009
349,tobruk,32.0836,23.9764,61.52,73,7,8.3,LY,1743790010
350,vadso,70.0744,29.7487,17.76,79,40,24.16,NO,1743790011
351,aqaba,29.5267,35.0078,72.84,38,0,13.73,JO,1743790012
352,pingxiang,27.6167,113.85,58.37,89,100,1.16,CN,1743790013
353,colonia,50.9333,6.95,70.45,35,0,8.05,DE,1743790014
354,luderitz,-26.6481,15.1594,65.68,83,4,9.26,NA,1743790015
355,keflavik,64.0049,-22.5624,46.83,71,75,24.16,IS,1743790017
356,kavieng,-2.5744,150.7967,81.23,75,83,5.66,PG,1743790018
357,idrinskoye,54.3708,92.1358,40.89,71,86,5.95,RU,1743790019
358,puerto colombia,10.9878,-74.9547,89.69,66,100,17.52,CO,1743790020
359,ola,59.5833,151.2833,23.14,91,98,3.42,RU,1743790021
360,turpan,42.9333,89.1667,60.78,18,0,1.3,CN,1743790022
361,markovo,57.3206,107.0881,34.72,94,100,7.2,RU,1743790023
362,grand baie,-20.0182,57.5802,76.44,86,15,12.28,MU,1743790025
363,antonio enes,-16.2325,39.9086,79.74,75,78,7.9,MZ,1743790026
364,xiaoweizhai,26.1903,107.5125,56.19,93,100,3.56,CN,1743790027
365,crane,31.3974,-102.3501,55.18,78,99,18.7,US,1743790029
366,petauke,-14.2426,31.3253,64.17,88,93,6.58,ZM,1743790030
367,chudniv,50.052,28.1175,52.93,60,67,6.71,UA,1743790031
368,bayganin,48.6947,55.8742,47.43,46,0,3.49,KZ,1743790032
369,mezhdurechenskiy,59.6,65.9333,20.88,95,92,3.09,RU,1743790033
370,noshiro,40.2039,140.0242,41.49,74,84,8.34,JP,1743790034
371,soro,21.2881,86.6858,78.42,73,88,5.86,IN,1743789785
372,kawerau,-38.1,176.7,61.11,100,57,2.73,NZ,1743790037
373,satkania,22.0796,92.0572,71.28,93,53,4.99,BD,1743790038
374,ocotal,13.6321,-86.4752,88.72,36,22,8.28,NI,1743789747
375,ceeldheer,3.8488,47.1806,82.65,65,6,16.98,SO,1743790040
376,urengoy,65.9667,78.3667,-2.58,95,15,8.97,RU,1743790042
377,tommot,58.9564,126.2925,2.7,99,89,1.81,RU,1743790044
378,lata,40.1629,-8.3327,56.48,84,99,12.57,PT,1743790045
379,zilair,52.2332,57.4392,35.02,79,33,5.73,RU,1743790046
380,san pedro pochutla,15.7333,-96.4667,92.71,23,2,9.51,MX,1743790047
381,queenstown,-31.8976,26.8753,59.76,92,82,2.91,ZA,1743790048
382,timimoun,29.2639,0.231,89.71,15,17,10.4,DZ,1743790049
383,hadibu,12.65,54.0333,79.88,71,7,7.38,YE,1743790050
384,suva,-18.1416,178.4415,72.88,100,40,4.61,FJ,1743790052
385,okap,19.7578,-72.2042,80.31,72,0,27.58,HT,1743789785
386,katabu,-4.9333,122.5167,73.58,96,100,1.21,ID,1743790054
387,toliara,-23.35,43.6667,77.02,64,31,17.6,MG,1743789803
388,akrehamn,59.2667,5.1833,44.85,81,0,13.8,NO,1743790056
389,fisterra,42.9049,-9.2629,58.96,85,94,15.39,ES,1743790058
390,hargeysa,9.56,44.065,74.66,58,30,8.25,SO,1743790059
391,sur,22.5667,59.5289,83.88,29,0,10.22,OM,1743790060
392,bocanda,7.0626,-4.4995,86.05,62,58,3.6,CI,1743790061
393,pauini,-7.7136,-66.9764,83.62,71,98,1.34,BR,1743790063
394,babolsar,36.7025,52.6576,58.84,76,100,3.06,IR,1743790064
395,altinekin,38.3078,32.8686,46.51,84,86,4.92,TR,1743790066
396,unye,11.4502,13.962,88.16,12,36,9.98,NG,1743790067
397,isangel,-19.55,169.2667,78.08,88,80,5.84,VU,1743790068
398,hilo,19.7297,-155.09,73.51,74,40,5.75,US,1743790069
399,cam ranh,11.9214,109.1591,76.96,78,75,1.14,VN,1743790070
400,leava,-14.3,-178.1667,83.25,72,52,3.53,WF,1743790072
401,yeppoon,-23.1333,150.7333,74.82,87,100,5.37,AU,1743790073
402,argo,37.6333,22.7333,56.16,82,86,3.15,GR,1743790075
403,sao miguel do iguacu,-25.3481,-54.2378,83.82,41,4,9.37,BR,1743789932
404,newman,37.3138,-121.0208,64.04,46,0,8.01,US,1743789984
405,gobabis,-22.45,18.9667,65.03,89,100,13.31,NA,1743790078
406,kapit,2.0167,112.9333,74.12,98,100,1.83,MY,1743790079
407,nikol'sk,53.7189,46.0712,49.87,69,82,14.07,RU,1743790080
408,ugoofaaru,5.6667,73.0,83.89,71,86,4.36,MV,1743790082
409,inari,68.906,27.0288,20.25,79,75,11.41,FI,1743790083
410,gisborne,-38.6533,178.0042,64.09,89,66,10.51,NZ,1743790084
411,bouna,9.2667,-3.0,99.66,21,42,5.19,CI,1743790086
412,hasaki,35.7333,140.8333,51.3,56,99,10.4,JP,1743790087
413,kibara,-2.15,33.45,73.74,72,88,1.97,TZ,1743790089
414,mitu,1.1983,-70.1733,79.54,84,100,2.15,CO,1743790090
415,codrington,-38.2667,141.9667,53.02,57,54,13.58,AU,1743790091
416,likiep,9.8251,169.3107,80.69,79,78,20.22,MH,1743790092
417,plesetsk,62.708,40.2916,25.05,87,100,15.21,RU,1743790093
418,vylkove,45.4021,29.586,51.48,90,100,4.97,UA,1743790094
419,al ghayzah,16.2079,52.176,78.44,74,1,9.22,YE,1743790098
420,lazaro cardenas,17.9583,-102.2,84.52,50,7,10.85,MX,1743790099
421,ar ruways,24.1103,52.7306,81.77,35,61,9.44,AE,1743790100
422,boende,-0.2167,20.8667,69.6,96,100,2.98,CD,1743790102
423,olyokminsk,60.3736,120.4264,9.32,95,54,1.7,RU,1743790103
424,freeport,40.6576,-73.5832,68.18,44,0,14.97,US,1743789807
425,san angelo,31.4638,-100.437,55.94,88,100,11.5,US,1743790037
426,nova xavantina,-14.6667,-52.35,92.34,48,80,5.57,BR,1743790108
427,rawai,7.7797,98.3253,86.99,82,94,10.11,TH,1743790109
428,mosjoen,65.836,13.1908,34.32,86,40,2.3,NO,1743790110
429,flying fish cove,-10.4217,105.6791,80.28,89,75,8.05,CX,1743790111
430,pucallpa,-8.3791,-74.5539,86.04,62,75,2.3,PE,1743790112
431,kruisfontein,-34.0033,24.7314,65.64,98,16,4.43,ZA,1743790113
432,vorgashor,67.5833,63.95,1.0,96,100,4.05,RU,1743790114
433,borsa,47.6553,24.6633,50.76,66,64,5.39,RO,1743790115
434,mahibadhoo,3.7833,72.9667,84.02,67,97,1.39,MV,1743790117
435,kourou,5.1552,-52.6478,76.51,92,100,7.87,GF,1743790118
436,sylva,58.0348,56.7635,38.01,85,100,13.89,RU,1743790119
437,aginskoye,51.1,114.53,29.68,36,37,3.6,RU,1743790120
438,port pirie,-33.1833,138.0167,54.07,72,1,5.21,AU,1743790121
439,katsuura,35.1333,140.3,50.77,70,86,11.68,JP,1743790122
440,huarmey,-10.0681,-78.1522,75.65,72,80,10.92,PE,1743790123
441,sawakin,19.1059,37.3321,79.23,70,61,13.35,SD,1743790124
442,lethbridge,49.7,-112.8186,33.91,51,20,4.61,CA,1743789858
443,malabar,-33.9667,151.25,64.11,85,72,6.91,AU,1743790127
444,tralee,52.2704,-9.7026,62.85,67,75,10.36,IE,1743790128
445,kande,9.9578,1.0447,98.47,21,14,1.48,TG,1743790129
446,manadhoo,5.7667,73.3833,84.16,70,75,4.74,MV,1743790130
447,tingi,-11.3,35.0333,62.76,96,99,4.16,TZ,1743790131
448,sovetskaya,44.7769,41.1722,53.87,91,83,4.41,RU,1743790132
449,eureka,40.8021,-124.1637,59.25,75,89,4.0,US,1743790032
450,aykhal,66.0,111.5,2.62,99,94,6.46,RU,1743790135
451,guelmim,28.987,-10.0574,67.5,45,0,14.54,MA,1743790136
452,ladyzhyn,48.685,29.2368,55.56,69,11,6.29,UA,1743790137
453,south hedland,-20.4089,118.5983,76.93,78,5,6.91,AU,1743790138
454,kamaishi,39.2667,141.8833,37.47,80,67,6.17,JP,1743790139
455,ambanja,-13.6833,48.45,76.51,89,46,1.52,MG,1743790140
456,aguada de pasajeros,22.385,-80.8508,90.64,35,8,11.7,CU,1743790142
457,nova vicosa,-17.8919,-39.3719,84.7,60,71,9.28,BR,1743790110
458,tolanaro,-25.0319,46.9987,72.52,86,99,9.37,MG,1743790145
459,mabaruma,8.2,-59.7833,84.38,61,75,6.55,GY,1743790148
460,alaghsas,17.0187,8.0168,89.96,6,8,14.27,NE,1743790149
461,fortuna,40.5982,-124.1573,59.94,73,0,3.44,US,1743790150
462,oxapampa,-10.5775,-75.4017,69.53,73,94,2.57,PE,1743790151
463,bodo,67.28,14.405,33.84,77,75,11.5,NO,1743790152
464,taroa,8.7058,171.2275,80.01,80,98,23.85,MH,1743790153
465,turkmenabat,39.0733,63.5786,74.62,35,100,14.63,TM,1743790154
466,bandar abbas,27.1865,56.2808,78.78,65,57,6.91,IR,1743790157
467,huskvarna,57.786,14.3021,39.2,52,17,6.91,SE,1743790158
468,porangatu,-13.4408,-49.1486,89.8,49,33,3.24,BR,1743790018
469,znamenskoye,57.1281,73.8282,29.71,85,90,12.12,RU,1743790160
470,salekhard,66.53,66.6019,-2.83,100,45,2.39,RU,1743790161
471,berdigestyakh,62.0989,126.6992,-7.17,100,36,3.15,RU,1743790162
472,tirat karmel,32.7617,34.9719,62.58,75,7,6.87,IL,1743790163
473,onega,63.9061,38.1404,24.17,78,99,17.02,RU,1743790093
474,urbania,43.6697,12.5201,56.52,52,0,2.62,IT,1743790166
475,"laikit, laikit ii (dimembe)",1.4792,124.9735,71.71,100,100,2.15,ID,1743790167
476,long beach,33.767,-118.1892,65.14,62,0,6.91,US,1743790168
477,daru,-9.0763,143.2092,80.2,82,88,6.46,PG,1743790169
478,makoua,0.0069,15.6333,75.99,83,98,3.13,CG,1743790170
479,manicore,-5.8092,-61.3003,87.03,60,100,3.36,BR,1743790172
480,nouadhibou,20.931,-17.0347,64.38,87,76,23.42,MR,1743790173
481,lady frere,-31.7031,27.2329,60.84,92,91,3.8,ZA,1743790174
482,kyren,51.6828,102.1408,35.64,47,14,4.27,RU,1743790175
483,novodvinsk,64.4165,40.8122,28.15,80,100,17.07,RU,1743790176
484,maragogi,-9.0122,-35.2225,85.24,66,77,11.43,BR,1743790177
485,shingu,33.7333,135.9833,41.67,65,29,5.91,JP,1743790024
486,manokwari,-0.8667,134.0833,77.81,84,100,4.03,ID,1743790180
487,salinopolis,-0.6136,-47.3561,79.79,88,98,13.44,BR,1743790151
488,tongouson,5.0214,120.1328,79.25,80,100,2.24,PH,1743790182
489,zhengjiatun,43.5064,123.5064,43.29,72,92,12.12,CN,1743790183
490,mbaiki,3.8678,17.9892,81.79,59,98,1.86,CF,1743790003
491,bei'an,46.4398,126.2373,45.45,74,100,9.28,CN,1743790185
492,lewin brzeski,50.7487,17.6169,59.41,64,15,3.96,PL,1743790186
493,rabaul,-4.1967,152.1721,78.55,82,94,3.31,PG,1743790189
494,kiruhura,-2.4773,29.7679,61.75,93,79,2.37,RW,1743790190
495,anna regina,7.2644,-58.5077,81.95,76,90,9.84,GY,1743790191
496,carloforte,39.145,8.3058,60.46,67,100,12.75,IT,1743790192
497,portland,45.5234,-122.6762,58.17,66,75,4.0,US,1743790044
498,suonenjoki,62.6167,27.1333,35.4,76,97,9.35,FI,1743790194
499,staroyur'yevo,53.3161,40.7081,53.51,64,33,13.0,RU,1743790195
500,charlottetown,46.2352,-63.1267,41.2,76,40,16.11,CA,1743789911
501,pea ridge,38.414,-82.3199,66.72,95,100,4.41,US,1743790198
502,springbok,-29.6643,17.8865,72.81,53,1,4.65,ZA,1743790199
503,susuman,62.7833,148.1667,4.24,86,100,3.27,RU,1743790200
504,tangalle,6.024,80.7911,75.49,92,96,11.3,LK,1743790201
505,namibe,-15.1961,12.1522,74.03,74,69,14.0,AO,1743790202
506,yugo-kamskiy,57.7053,55.5894,39.02,78,100,15.17,RU,1743790203
507,kuloy,61.0305,42.4925,34.75,81,97,13.0,RU,1743790205
508,lebyazh'ye,55.2689,66.4947,33.3,79,41,6.33,RU,1743790206
509,sorsk,54.0033,90.2467,41.11,47,100,8.23,RU,1743790207
510,jisr ash shughur,35.8143,36.3206,54.48,88,53,6.4,SY,1743790208
511,goksun,38.021,36.4973,45.97,80,96,3.85,TR,1743790209
512,kerikeri,-35.2268,173.9474,56.91,95,34,3.58,NZ,1743790211
513,idabel,33.8957,-94.8263,74.88,100,100,6.91,US,1743790212
514,kribi,2.95,9.9167,81.0,85,71,7.85,CM,1743790213
515,acajutla,13.5928,-89.8275,90.54,59,8,10.63,SV,1743790214
516,itupiranga,-5.1347,-49.3267,88.29,75,100,2.42,BR,1743789941
517,novyy urengoy,66.0833,76.6333,-4.58,93,8,8.57,RU,1743790217
518,prince rupert,54.3161,-130.3201,49.08,69,100,3.02,CA,1743790219
519,waat,51.1454,6.4958,69.76,42,0,5.75,DE,1743790220
520,langsa,4.4683,97.9683,76.53,92,100,1.43,ID,1743790221
521,zhangye,38.9342,100.4517,46.49,19,4,4.09,CN,1743790222
522,kolonia,50.9333,6.95,70.45,35,0,8.05,DE,1743790014
523,macusani,-14.0833,-70.4333,48.69,59,90,12.12,PE,1743790224
524,elverum,60.8819,11.5623,41.92,50,68,10.63,NO,1743790225
525,tidjikja,18.5564,-11.4271,97.88,11,36,13.4,MR,1743790227
526,island harbour,50.724,-1.2758,68.07,75,87,16.67,GB,1743790228
527,chunskiy,56.0815,99.6342,35.78,83,100,4.7,RU,1743790229
528,kindu,-2.95,25.95,73.8,88,76,0.54,CD,1743790230
529,waycross,31.2136,-82.354,87.85,51,75,6.91,US,1743790083
530,wanning,18.8003,110.3967,68.83,87,7,2.39,CN,1743790232
531,vasyshcheve,49.8285,36.3269,56.7,57,9,6.62,UA,1743790233
532,la ronge,55.1001,-105.2842,22.68,76,73,10.76,CA,1743790234
533,nuuk,64.1835,-51.7216,18.21,73,100,19.57,GL,1743790236
534,port saint john's,-31.6229,29.5448,71.73,88,100,15.3,ZA,1743790237
535,kirensk,57.7853,108.1119,35.13,94,100,11.03,RU,1743790238
536,egilsstadir,65.2653,-14.3948,44.51,61,0,10.36,IS,1743790240
537,pinkafeld,47.3667,16.1167,55.76,50,4,0.74,AT,1743790242
538,mugia,43.1041,-9.2179,55.9,87,95,6.15,ES,1743790243
539,maceio,-9.6658,-35.7353,87.24,58,40,16.11,BR,1743790244
540,togur,58.3631,82.8265,33.67,94,100,6.6,RU,1743790245
541,primero de mayo,-32.2552,-58.4228,61.83,27,1,10.04,AR,1743790246
542,upington,-28.4478,21.2561,73.78,68,20,2.3,ZA,1743790247
543,perugorria,-29.3413,-58.6106,66.9,32,0,14.92,AR,1743790249
544,viedma,-40.8135,-62.9967,61.68,30,53,7.52,AR,1743790250
545,acarau,-2.8856,-40.12,80.42,80,82,12.88,BR,1743790251
546,margate,51.3813,1.3862,51.87,81,46,1.99,GB,1743790104
547,gornozavodsk,58.3758,58.3211,32.88,97,100,13.13,RU,1743790254
548,ataq,14.5377,46.8319,70.99,48,22,14.81,YE,1743790255
549,milazzo,38.2212,15.2383,61.99,77,39,1.99,IT,1743790257
550,meizhou,24.2977,116.1072,60.84,93,100,2.17,CN,1743790258
551,bethanie,-26.4833,17.15,81.93,35,72,9.06,NA,1743790259
552,forres,57.6113,-3.6108,47.82,75,0,18.41,GB,1743790260
553,jeddah,21.5169,39.2192,82.58,49,28,12.82,SA,1743790118
554,los angeles,34.0522,-118.2437,67.01,55,0,5.75,US,1743789854
555,southside,33.9245,-86.0225,81.9,65,0,12.66,US,1743790263
556,jambi city,-1.6,103.6167,73.45,99,100,3.6,ID,1743790265
557,ystad,55.4297,13.8204,43.18,77,42,10.4,SE,1743790266
558,santa rosalia,27.3167,-112.2833,61.18,43,0,6.87,MX,1743790267
559,miri,4.4148,114.0089,80.1,94,100,3.31,MY,1743790268
560,zvezdnyy,57.7325,56.3147,41.59,78,100,17.4,RU,1743790269
561,imbituba,-28.24,-48.6703,75.22,58,100,21.63,BR,1743790205
562,brisas de zicatela,15.8369,-97.0419,90.12,29,0,8.05,MX,1743790272
563,chipinge,-20.1883,32.6236,60.33,86,56,4.07,ZW,1743790275
564,boden,65.8252,21.6886,30.76,87,100,4.12,SE,1743790276
565,belomorsk,64.5232,34.7668,23.43,72,96,13.62,RU,1743790277
566,byron bay,-28.65,153.6167,68.27,86,91,3.38,AU,1743790035
567,pitkyaranta,61.5734,31.4792,34.7,71,70,10.45,RU,1743790279
